material,description,supplier,country_of_origin,unit_cost_eur,margin_pct,inventory_on_hand,safety_stock,avg_daily_demand,lead_time_days,shelf_life_days,days_on_hand,expected_price_change_pct,sole_source,incoterm,in_transit_units,in_transit_arrival_days
API063,Intermediate API,Evonik,DE,361.89,23.6,773,320,10.6,89,1076,73.0,-1.2,N,FCA,305,78
API064,Bulk API,Cipla Bulk,IN,72.73,44.7,474,529,6.6,101,861,71.9,10.7,Y,CIF,52,41
API065,Intermediate API,Croda International,GB,354.93,51.3,790,1050,11.8,71,817,67.0,2.8,Y,DAP,0,0
API066,Active Ingredient,Esteve,ES,450.35,34.8,881,1227,14.0,25,647,63.0,3.5,N,DAP,0,0
API067,Sterile API,AkzoNobel,NL,380.07,58.9,67,610,8.2,53,962,8.2,-1.4,N,EXW,141,46
API068,Bulk API,Evonik,DE,384.62,16.2,1424,1433,19.6,42,753,72.7,1.7,N,FCA,201,20
API069,Intermediate API,Cipla Bulk,IN,260.44,24.8,683,310,8.2,43,909,83.4,11.5,N,FOB,56,8
API070,Bulk API,Eternal Materials,US,140.94,24.3,893,496,10.9,49,800,82.0,8.5,N,DAP,0,0
API071,Bulk API,Flamma,IT,163.6,29.7,1529,1303,15.5,80,1070,98.7,-1.6,N,FCA,166,27
API072,Sterile API,Merck KGaA,DE,327.54,42.1,415,162,4.1,33,855,101.2,-0.2,N,DAP,0,0
API073,Active Ingredient,UCB,BE,392.01,53.6,339,182,4.9,85,594,69.4,3.1,N,EXW,60,38
API074,Micronized API,AkzoNobel,NL,433.1,58.7,207,332,7.4,54,627,28.0,3.3,N,DAP,0,0
API075,Sterile API,Zhejiang Huahai,CN,270.77,41.5,2557,424,11.2,47,1054,228.3,11.5,N,CFR,56,28
API076,Active Ingredient,DSM,NL,103.53,60.8,583,411,7.1,60,827,82.2,3.9,N,DAP,0,0
API077,Bulk API,Hutchison MediPharma,CN,260.94,22.6,2021,610,18.5,39,969,109.3,9.5,N,FOB,215,12
API078,Crystalline Form,Esteve,ES,51.04,64.7,477,362,6.3,18,622,75.9,0.4,N,FCA,37,9
API079,Micronized API,Hutchison MediPharma,CN,346.98,45.0,807,505,10.0,86,20,80.7,2.4,N,CFR,134,77
API080,Bulk API,Formosa Plastics,TW,289.14,48.0,722,348,6.7,86,757,107.9,2.3,N,FOB,130,78
API081,Intermediate API,Cipla Bulk,IN,233.67,37.0,223,238,3.4,20,897,65.6,5.3,Y,CFR,7,16
API082,Crystalline Form,Eternal Materials,US,350.53,21.5,517,291,6.2,24,1031,83.5,7.4,N,FCA,40,23
API083,Crystalline Form,AkzoNobel,NL,194.22,63.8,531,269,8.6,66,1012,61.8,0.7,N,FCA,189,57
API084,Active Ingredient,UCB,BE,270.42,46.6,646,618,7.3,32,995,88.6,2.5,N,EXW,68,25
API085,Bulk API,Olon SpA,IT,340.17,29.5,656,322,5.9,58,980,111.4,-1.0,N,DAP,0,0
API086,Sterile API,BASF SE,DE,408.88,57.0,249,132,3.6,72,1079,69.3,-1.1,N,EXW,53,46
API087,Active Ingredient,Alpek Polyester,MX,81.34,21.9,1036,1329,16.0,34,600,64.8,-0.9,N,DAP,0,0
API088,Crystalline Form,Johnson Matthey,GB,358.77,47.6,2266,1207,19.8,89,933,114.5,-0.1,N,FCA,379,40
API089,Bulk API,Bayer,DE,209.0,54.4,1612,923,16.8,76,944,96.0,0.9,N,DAP,0,0
API090,Sterile API,DSM,DE,93.24,22.7,833,368,11.1,19,775,75.1,-1.8,N,EXW,55,16
API091,Micronized API,BASF SE,DE,437.36,56.2,793,398,11.2,76,938,70.9,2.5,N,FCA,192,58
API092,Bulk API,Janssen,BE,143.77,52.6,331,133,3.3,20,984,100.5,3.9,N,EXW,8,14
API093,Intermediate API,Esteve,ES,443.79,63.8,1160,761,17.6,28,0,65.9,1.4,N,FCA,117,24
API094,Active Ingredient,Evonik,DE,320.7,39.3,206,445,5.9,45,843,35.0,-0.4,N,EXW,61,17
API095,Intermediate API,Divi's Labs,IN,79.74,15.1,451,343,5.0,81,1020,90.3,6.8,N,FOB,135,9
API096,Bulk API,Dr Reddy's,IN,355.79,25.7,247,160,2.9,29,612,85.5,5.2,N,CFR,11,6
API097,Active Ingredient,Janssen,BE,324.72,25.3,3325,644,17.9,84,602,185.8,-1.3,N,FCA,470,64
API098,Sterile API,Croda International,GB,69.88,35.1,641,465,7.2,86,631,89.2,1.0,N,FCA,138,83
API099,Intermediate API,Esteve,ES,313.14,21.4,759,256,7.1,28,858,106.9,0.5,N,FCA,41,19
API100,Intermediate API,Sumitomo,JP,198.17,37.6,228,820,11.8,49,713,19.4,0.3,N,DAP,0,0
API101,Crystalline Form,Bayer,DE,375.4,34.5,367,384,5.1,56,986,72.1,1.6,N,FCA,76,7
API102,Sterile API,Esteve,ES,310.54,15.2,118,108,1.7,65,941,69.5,1.0,N,FCA,23,5
API103,Sterile API,Hutchison MediPharma,CN,445.44,33.7,762,463,11.7,34,808,65.1,11.7,N,CIF,96,29
API104,Sterile API,Aurobindo Pharma,IN,218.51,20.1,212,1047,16.4,50,867,13.0,5.7,N,FOB,167,10
API105,Active Ingredient,Zhejiang Huahai,CN,177.98,30.2,666,1077,17.6,15,912,37.9,8.7,Y,FOB,51,11
API106,Crystalline Form,Olon SpA,IT,146.45,22.0,445,164,4.6,40,758,96.9,3.8,N,DAP,0,0
API107,Crystalline Form,Merck KGaA,DE,442.13,46.7,568,295,9.2,46,1076,61.8,-1.8,N,EXW,116,17
API108,Sterile API,DSM,DE,426.86,20.9,137,82,2.1,77,1034,65.6,0.4,N,FCA,34,9
API109,Sterile API,LG Chem,KR,135.21,29.3,1910,1583,19.3,21,988,99.0,10.4,N,CIF,97,7
API110,Crystalline Form,Croda International,GB,454.51,63.6,1020,826,14.4,50,735,70.9,-1.5,N,DAP,0,0
API111,Crystalline Form,Merck KGaA,DE,250.73,61.5,355,497,12.6,16,1066,28.2,1.1,N,DAP,0,0
API112,Micronized API,Alpek Polyester,MX,156.36,17.5,360,162,3.9,18,1032,92.4,1.8,N,DAP,0,0
API113,Crystalline Form,Zhejiang Huahai,CN,438.86,62.4,759,331,7.6,20,1050,99.9,9.7,N,FOB,35,7
API114,Sterile API,Solvay,BE,352.78,36.7,47,212,5.3,68,641,8.9,1.0,Y,EXW,82,37
API115,Bulk API,Formosa Plastics,TW,268.83,38.9,998,590,9.0,91,884,111.0,3.9,Y,CIF,27,17
API116,Micronized API,Merck KGaA,DE,341.68,54.1,703,740,9.1,62,727,77.3,2.0,N,DAP,0,0
API117,Bulk API,SK Bioscience,KR,241.29,55.6,416,610,10.6,69,942,39.3,4.0,Y,CFR,136,52
API118,Active Ingredient,Caldic BV,NL,480.22,22.7,373,296,4.8,36,950,77.9,-0.9,N,EXW,32,19
API119,Bulk API,Bayer,DE,188.75,21.4,545,393,11.5,67,962,47.4,2.9,N,FCA,163,55
API120,Bulk API,Solvay,BE,260.37,34.6,438,273,5.6,71,610,78.3,-0.2,N,FCA,76,20
API121,Crystalline Form,Zhejiang Huahai,CN,274.07,47.1,1210,1169,17.5,89,1030,69.1,6.6,N,FOB,187,6
API122,Intermediate API,Olon SpA,IT,305.68,42.6,1584,735,16.9,22,997,93.7,3.2,N,FCA,119,10
API123,Active Ingredient,Esteve,ES,322.83,61.9,1849,358,7.5,56,645,246.6,3.7,Y,FCA,84,47
API124,Bulk API,Caldic BV,NL,415.39,28.2,852,1300,18.4,24,667,46.3,3.8,N,DAP,0,0
API125,Bulk API,DSM,NL,244.63,27.7,606,827,15.7,72,24,38.7,1.4,Y,EXW,393,7
API126,Micronized API,Johnson Matthey,GB,90.07,34.8,765,628,15.2,42,761,50.4,3.2,N,DDP,0,0
API127,Intermediate API,Divi's Labs,IN,492.34,35.6,420,389,8.7,84,947,48.3,6.7,Y,FOB,109,19
API128,Micronized API,AkzoNobel,NL,458.42,55.1,469,276,6.1,34,1049,77.0,-0.7,N,FCA,64,16
API129,Crystalline Form,BASF SE,DE,337.66,54.1,81,405,5.0,83,662,16.4,3.2,Y,FCA,73,53
API130,Micronized API,Evonik,DE,472.33,51.4,359,579,9.4,80,983,38.2,-0.3,N,FCA,97,22
API131,Intermediate API,Flamma,IT,312.19,34.8,1414,716,16.0,83,906,88.4,-0.9,N,DAP,0,0
API132,Micronized API,SK Bioscience,KR,463.04,64.2,806,449,7.7,62,590,104.8,10.8,N,CIF,61,49
API133,Sterile API,Esteve,ES,447.59,30.1,1312,1035,15.6,39,987,84.1,-0.7,Y,DAP,0,0
API134,Intermediate API,Divi's Labs,IN,74.84,32.4,1684,935,17.4,16,567,96.8,4.6,N,CFR,63,13
API135,Active Ingredient,DuPont,US,289.08,54.0,266,180,5.7,31,923,46.8,9.4,N,FCA,41,17
API136,Bulk API,Cipla Bulk,IN,449.63,55.6,377,292,7.6,57,25,49.7,5.3,N,CIF,47,16
API137,Sterile API,BASF SE,DE,82.09,64.5,148,191,2.4,24,958,61.8,3.3,N,FCA,14,14
API138,Intermediate API,Esteve,ES,260.44,23.5,1802,631,16.1,33,994,111.9,2.1,N,DAP,0,0
API139,Active Ingredient,Eternal Materials,US,394.26,30.4,298,431,5.1,66,847,58.6,7.5,N,FCA,85,42
API140,Micronized API,Evonik,DE,353.64,49.1,106,130,2.4,47,660,44.6,2.5,N,FCA,17,39
API141,Intermediate API,Johnson Matthey,GB,262.65,40.0,1027,761,12.8,84,865,80.3,-1.6,N,DDP,0,0
API142,Sterile API,Flamma,IT,272.08,38.4,1937,788,19.3,48,591,100.4,0.6,Y,DAP,0,0
API143,Bulk API,Lupin China,CN,64.47,43.5,288,156,3.9,85,716,74.0,6.1,N,FOB,96,23
API144,Micronized API,Flamma,IT,432.38,64.9,420,238,5.3,35,854,79.3,3.9,N,FCA,42,24
API145,Sterile API,Pfizer CentreOne,US,141.74,41.4,1914,947,16.8,37,1071,114.0,10.0,N,DDP,0,0
API146,Crystalline Form,Solvay,BE,302.35,40.3,687,981,13.1,45,718,52.5,-0.9,Y,EXW,184,22
API147,Micronized API,DSM,NL,299.29,16.1,472,485,7.0,27,575,67.5,1.5,Y,DAP,0,0
API148,Active Ingredient,DuPont,US,322.95,37.2,773,734,9.4,19,545,82.2,11.0,Y,FCA,42,7
API149,Intermediate API,Caldic BV,NL,376.17,45.0,2296,917,19.1,51,734,120.2,-1.7,N,EXW,183,37
API150,Crystalline Form,Ercros,ES,324.68,53.8,908,593,16.4,68,865,55.4,-1.7,N,DAP,0,0
API151,Micronized API,AkzoNobel,NL,236.27,23.8,1504,702,16.7,84,549,90.1,3.7,N,EXW,144,65
API152,Sterile API,Eternal Materials,US,297.65,18.9,1019,1143,17.1,60,848,59.6,9.4,Y,FCA,121,45
API153,Crystalline Form,Pfizer CentreOne,US,279.42,30.6,1810,1011,19.4,69,658,93.3,11.4,N,DAP,0,0
API154,Sterile API,Caldic BV,NL,220.19,57.6,433,479,5.6,61,914,77.4,-1.1,N,DAP,0,0
API155,Active Ingredient,Evonik,DE,202.88,18.6,305,471,10.0,71,996,30.6,3.1,N,DAP,0,0
API156,Crystalline Form,LG Chem,KR,102.15,59.3,583,403,10.3,24,565,56.6,3.4,N,CIF,38,12
API157,Sterile API,Johnson Matthey,GB,64.42,45.7,651,295,8.1,63,674,80.4,0.4,N,FCA,154,26
API158,Active Ingredient,Cipla Bulk,IN,281.81,32.2,797,692,9.0,21,552,88.6,9.6,N,CIF,24,17
API159,Active Ingredient,Dr Reddy's,IN,491.45,17.1,378,368,9.5,55,1073,39.9,6.5,Y,FOB,162,21
API160,Sterile API,Alpek Polyester,MX,263.69,21.5,148,91,2.0,85,588,74.3,3.6,N,FCA,38,82
API161,Sterile API,Olon SpA,IT,251.71,29.0,1863,1069,17.3,43,640,107.7,-1.8,N,DAP,0,0
API162,Bulk API,Esteve,ES,356.02,24.1,1262,708,13.8,34,927,91.5,0.2,N,FCA,146,21
API163,Intermediate API,DuPont,US,67.54,39.7,259,254,3.4,32,975,76.3,8.1,N,DAP,0,0
API164,Sterile API,Lupin China,CN,496.76,32.1,289,254,4.1,53,871,70.7,11.3,Y,FOB,36,6
API165,Bulk API,DSM,NL,64.76,29.0,99,249,4.7,42,717,21.1,-1.8,Y,EXW,29,32
API166,Sterile API,Formosa Plastics,TW,276.9,41.6,635,531,7.0,72,1023,90.7,2.6,N,CIF,109,25
API167,Sterile API,Mitsui Chemicals,JP,497.42,53.5,190,89,2.8,63,971,68.0,3.1,N,CIF,17,21
API168,Intermediate API,Merck KGaA,DE,169.35,34.6,731,420,9.1,80,770,80.4,1.0,N,EXW,148,24
API169,Crystalline Form,Olon SpA,IT,208.37,43.3,1187,404,8.9,76,963,133.4,3.0,N,FCA,91,42
API170,Crystalline Form,Zhejiang Huahai,CN,168.55,61.5,184,234,3.2,56,862,57.6,2.7,N,CIF,29,18
API171,Bulk API,Dr Reddy's,IN,471.67,59.7,413,293,4.5,38,779,91.9,3.0,Y,CIF,42,20
API172,Sterile API,Flamma,IT,89.49,20.7,1004,914,18.7,86,784,53.7,-0.9,N,DAP,0,0
API173,Sterile API,Eternal Materials,US,367.37,18.4,137,85,1.7,63,590,80.9,9.5,N,FCA,34,12
API174,Crystalline Form,Solvay,BE,183.59,18.0,228,425,8.0,33,681,28.6,0.3,N,DAP,0,0
API175,Micronized API,UCB,BE,397.34,33.9,142,748,12.2,87,968,11.7,0.6,Y,EXW,291,85
API176,Crystalline Form,Merck KGaA,DE,106.95,52.6,819,870,10.6,68,870,77.3,3.1,N,EXW,228,7
API177,Bulk API,Croda International,GB,437.16,47.4,1031,453,9.0,98,650,114.6,3.3,Y,FCA,73,9
API178,Bulk API,Alpek Polyester,MX,368.68,45.5,241,220,6.8,36,563,35.4,2.4,Y,FCA,82,28
API179,Intermediate API,Olon SpA,IT,196.09,41.1,143,771,9.2,59,582,15.6,-0.9,N,DAP,0,0
API180,Active Ingredient,Solvay,BE,128.54,53.2,496,332,10.4,83,757,47.7,-0.4,Y,FCA,299,21
API181,Intermediate API,Aurobindo Pharma,IN,311.2,33.8,1404,930,16.7,24,1008,84.1,7.7,N,CFR,36,8
API182,Micronized API,Merck KGaA,DE,179.63,51.2,143,184,2.3,79,552,62.3,3.1,Y,DAP,0,0
API183,Intermediate API,Johnson Matthey,GB,407.99,39.4,1004,409,10.5,89,567,95.7,3.3,N,DDP,0,0
API184,Bulk API,Zhejiang Hisun,IN,168.49,35.9,851,461,8.0,53,704,106.4,5.7,N,FOB,58,46
API185,Micronized API,Evonik,DE,431.45,26.9,300,128,3.9,14,1073,77.1,2.5,Y,EXW,6,10
API186,Intermediate API,Hutchison MediPharma,CN,54.92,44.8,2228,819,19.8,33,839,112.6,9.9,N,CFR,135,29
API187,Crystalline Form,Caldic BV,NL,183.84,31.5,1237,1654,18.7,65,830,66.2,-1.4,N,EXW,193,36
API188,Bulk API,DSM,DE,105.73,24.9,217,1302,15.5,21,577,14.0,1.8,N,DAP,0,0
API189,Micronized API,Hutchison MediPharma,CN,313.78,31.1,1302,926,14.2,86,776,91.7,12.0,N,FOB,171,21
API190,Micronized API,Johnson Matthey,GB,307.21,17.5,555,566,8.7,58,928,63.8,2.7,N,DAP,0,0
API191,Crystalline Form,Croda International,GB,95.54,28.7,577,778,11.0,80,859,52.5,2.4,N,FCA,270,49
API192,Sterile API,Dr Reddy's,IN,250.81,58.2,942,765,14.7,53,617,64.1,5.7,N,CFR,187,29
API193,Intermediate API,Bayer,DE,417.08,34.2,519,575,15.7,75,1057,33.1,-1.7,N,FCA,389,66
API194,Crystalline Form,Croda International,GB,145.28,56.0,989,745,10.5,16,987,94.2,-1.7,N,DAP,0,0
API195,Crystalline Form,Sumitomo,JP,339.04,38.1,391,322,9.0,23,991,43.5,-0.6,Y,CIF,35,8
API196,Crystalline Form,Bayer,DE,215.64,46.3,1639,1551,18.3,25,987,89.6,1.7,N,EXW,118,18
API197,Crystalline Form,LG Chem,KR,401.66,33.9,115,72,1.2,52,723,96.2,7.3,N,FOB,12,50
API198,Micronized API,Evonik,DE,182.28,42.2,643,913,10.5,62,914,61.3,-0.4,Y,FCA,140,6
API199,Micronized API,Divi's Labs,IN,282.46,45.2,683,305,8.5,17,1077,80.4,7.6,Y,CIF,30,14
API200,Crystalline Form,Johnson Matthey,GB,363.53,57.9,98,104,3.3,84,581,30.0,-2.0,N,DAP,0,0
INT201,Reaction Intermediate,Janssen,BE,129.24,35.1,2376,1083,23.5,81,688,101.1,0.4,Y,FCA,638,77
INT202,Stabilized Intermediate,Esteve,ES,130.48,52.7,91,129,2.9,24,599,31.6,3.3,N,DAP,0,0
INT203,Purification Intermediate,Flamma,IT,89.65,39.7,629,396,7.5,79,675,84.0,-0.6,N,FCA,197,47
INT204,Catalyst Complex,Esteve,ES,105.37,29.4,700,350,8.8,20,586,79.6,0.6,N,DAP,0,0
INT205,Stabilized Intermediate,AkzoNobel,NL,73.64,50.8,389,1270,23.3,57,677,16.7,2.8,N,FCA,353,49
INT206,Synthesis Intermediate,Formosa Plastics,TW,209.06,52.2,399,525,14.7,84,398,27.2,3.0,N,CIF,182,36
INT207,Reaction Intermediate,DSM,NL,207.28,59.8,382,154,4.0,57,521,95.6,0.8,N,EXW,55,31
INT208,Purification Intermediate,Lupin China,CN,105.1,55.0,1842,1121,25.9,25,626,71.1,8.7,N,FOB,106,15
INT209,Purification Intermediate,LG Chem,KR,222.66,64.3,1769,1398,26.5,26,501,66.8,8.9,N,CFR,117,13
INT210,Synthesis Intermediate,Zhejiang Hisun,IN,226.35,26.5,330,400,6.8,62,449,48.6,10.6,Y,CIF,49,33
INT211,Reaction Intermediate,Formosa Plastics,TW,152.43,40.6,182,895,24.6,41,626,7.4,-1.2,N,CIF,148,37
INT212,Catalyst Complex,Evonik,DE,152.11,31.7,807,261,9.6,48,614,84.1,-1.4,N,FCA,143,12
INT213,Purification Intermediate,UCB,BE,75.38,24.3,433,461,15.9,16,661,27.3,3.3,Y,EXW,76,14
INT214,Catalyst Complex,Cipla Bulk,IN,145.52,47.6,2655,903,27.7,21,700,95.9,8.8,N,FOB,180,20
INT215,Stabilized Intermediate,Zhejiang Huahai,CN,40.75,52.7,926,482,11.9,63,408,77.9,3.0,Y,CIF,141,25
INT216,Reaction Intermediate,Caldic BV,NL,181.11,42.0,1223,1506,28.2,43,626,43.4,3.1,N,DAP,0,0
INT217,Catalyst Complex,Cipla Bulk,IN,179.49,53.5,2735,673,30.0,51,402,91.2,5.3,N,FOB,432,13
INT218,Purification Intermediate,BASF SE,DE,222.11,49.7,22,131,3.1,16,574,7.3,3.5,N,FCA,8,12
INT219,Stabilized Intermediate,LG Chem,KR,192.6,38.3,974,405,8.2,75,522,118.8,10.3,N,FOB,166,50
INT220,Purification Intermediate,Cipla Bulk,IN,111.78,17.3,2702,900,24.0,46,435,112.6,4.3,N,CIF,100,36
INT221,Synthesis Intermediate,Ercros,ES,209.31,31.0,2378,1077,23.2,85,629,102.5,0.5,N,FCA,456,30
INT222,Reaction Intermediate,Merck KGaA,DE,57.25,35.5,2079,377,17.6,84,524,118.2,-0.5,Y,EXW,191,22
INT223,Synthesis Intermediate,Ercros,ES,30.22,23.1,441,152,4.6,90,439,96.1,3.6,Y,FCA,32,11
INT224,Synthesis Intermediate,DSM,DE,165.89,45.5,2938,1745,29.6,20,584,99.3,0.3,N,DAP,0,0
INT225,Stabilized Intermediate,DSM,DE,113.41,47.4,1699,1656,29.1,18,613,58.4,1.2,Y,EXW,140,10
INT226,Synthesis Intermediate,DSM,DE,217.97,16.7,1703,442,21.8,89,602,78.2,1.5,Y,FCA,525,54
INT227,Synthesis Intermediate,Dr Reddy's,IN,75.68,43.2,1550,1037,26.7,64,390,58.1,2.1,N,CFR,423,18
INT228,Reaction Intermediate,Hutchison MediPharma,CN,92.39,35.9,831,647,11.1,74,415,75.0,3.5,N,CIF,193,40
INT229,Reaction Intermediate,Bayer,DE,84.55,60.7,2417,583,24.3,87,452,99.5,-0.1,N,EXW,361,52
INT230,Purification Intermediate,DSM,NL,173.18,21.4,2489,1483,28.1,52,615,88.6,3.3,N,EXW,370,18
INT231,Reaction Intermediate,Aurobindo Pharma,IN,83.08,18.0,1024,772,17.4,26,655,58.9,7.5,N,CIF,79,14
INT232,Purification Intermediate,Aurobindo Pharma,IN,245.43,19.9,776,750,25.2,59,390,30.8,7.9,N,CIF,146,9
